"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"190";33;5571;2048;4608;7;0,841886116991581;10;0,404145976931663;3628;38073;3915,9573542111;0;1810,19335983756;0
"191";43;5571;2048;4608;7;0,841886116991581;10;0,653448359958164;891;38073;3908,88628639923;1296000;1810,19335983756;0
"192";19;5571;2048;4608;9;0,432225026042331;10;0,311967038767548;2479;38073;3925,85684914771;3801600;1810,19335983756;0
"193";0;5571;1024;4608;7;0,552786404500042;7;0,529411764705882;18767;38073;3939,29187799026;0;2534,27070377259;0
"194";903;5571;512;4608;8;0,558058261758408;10;0,166690579013573;15322;38073;3300,7744545788;9849600;2896,3093757401;0
"195";2745;5571;5120;4608;7;0,683772233983162;9;0,675898138223918;29223;38073;1998,28376363318;345600;362,038671967512;0
"196";1416;5571;2560;4608;6;0,552786404500042;13;0,474506145754612;26733;38073;2938,0286758301;0;1448,15468787005;0
"197";1480136;5571;461824;4608;7;0,552786404500042;12;0,579915974791597;83706;38073;1042674,91080034;86400;323300,534066989;0
"198";157497;5571;13312;4608;7;0,683772233983162;9;0,571253537143728;15685;38073;107427,904838547;172800;6154,65742344771;0
"199";1241;5571;1280;4608;8;0,558058261758408;22;0,669088739322097;8605;38073;3061,77236253775;172800;2353,25136778883;0
"200";45;5571;1024;4608;8;0,558058261758408;14;0,651514526504774;8561;38073;3907,47207283686;518400;2534,27070377259;0
"201";6;5571;1024;4608;8;0,558058261758408;12;0,312815729063723;11835;38073;3935,04923730314;172800;2534,27070377259;0
"202";10282;5571;3840;4608;8;0,558058261758408;19;0,524535072432073;25725;38073;3331,18004616983;0;543,058007951268;0
"203";0;5571;3072;4608;9;0,432225026042331;8;0,62426542534891;18977;38073;3939,29187799026;3801600;1086,11601590254;0
"204";15;5571;2048;4608;7;0,683772233983162;9;0,499226604332809;30816;38073;3928,68527627246;11059200;1810,19335983756;0
"205";46322;5571;6144;4608;7;0,683772233983162;17;0,535120949096102;65781;38073;28815,308440133;11059200;1086,11601590254;0
"206";0;5571;2048;4608;9;0,432225026042331;11;0,689747386002989;9980;38073;3939,29187799026;3801600;1810,19335983756;0
"207";169473;5571;28672;4608;7;0,552786404500042;16;0,417448271964537;21273;38073;115896,215650038;86400;17015,8175824731;0
"208";0;5571;2048;4608;9;0,432225026042331;7;0,470588235294118;13200;38073;3939,29187799026;0;1810,19335983756;0
"209";18275144;5571;3322880;4608;7;0,552786404500042;9;0,675898138223918;21388;38073;12918538,9576827;22204800;2346372,63302145;0
"210";2;5571;2048;4608;7;0,683772233983162;14;0,68101911086844;17060;38073;3937,87766442788;11059200;1810,19335983756;0
"211";4;5571;512;4608;8;0,558058261758408;11;0,595422610060661;7705;38073;3936,46345086551;9849600;2896,3093757401;0
"212";810;5571;1024;4608;7;0,552786404500042;15;0,442629598286846;45736;38073;3366,53538522915;22204800;2534,27070377259;0
"213";0;5571;2048;4608;7;0,683772233983162;18;0,634363787936435;18820;38073;3939,29187799026;11059200;1810,19335983756;0
"214";141859;5571;15872;4608;6;0,552786404500042;13;0,44178344401977;6846;38073;96370,1689943522;86400;7964,85078328527;0
"215";953653;5571;239616;4608;6;0,552786404500042;17;0,616517505576315;12100;38073;670395,211320904;0;166175,750433088;0
"216";9;5571;2048;4608;9;0,432225026042331;18;0,5669072069757;18885;38073;3932,92791695958;172800;1810,19335983756;0
"217";8;5571;1024;4608;8;0,558058261758408;8;0,416616648803052;11925;38073;3933,63502374076;0;2534,27070377259;0
"218";0;5571;2048;4608;9;0,432225026042331;17;0,60394098280933;7850;38073;3939,29187799026;3801600;1810,19335983756;0
