"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"640";3;0;4;22;0,091308594;77,4609375;1508484;259709350;12;618;353;0,234229463519153;0,391304347826087;359;0,216459210118814;0,304347826086957;0;640
"641";3;0;4;32;0,091308594;0,296875;1508484;0;12;662;452;0,145257721607567;0,375;457;0,120811726047828;0,291666666666667;0;641
"643";3;0;4;32;0,091308594;0,12109375;1508484;0;12;693;452;0,145257721607567;0,375;457;0,12525763942277;0,291666666666667;0;643
"662";3;0;4;1;0,091308594;0;1508484;175915991;12;65;58;0,521086857389424;0,764705882352941;57;0,326437213881725;0,526315789473684;0;662
"681";42;67;43;70;1,466552734;0,798095703;8037560;3218891;385;397;838;0,0216843564322868;0,08;842;0,0213449674063495;0,08;0;681
"690";42;0;43;20;1,466552734;0,01953125;8037560;400;385;107;439;0,069851685439915;0,0833333333333334;444;0,0645281704267303;0,0833333333333334;0;690
"691";42;4;43;15;1,466552734;6,963623047;8037560;26432122;385;151;454;0,0525897751474677;0,0833333333333334;461;0,0532644441611854;0,0833333333333334;0;691
"694";42;0;43;34;1,466552734;0,13671875;8037560;26741;385;204;426;0,0530298397296513;0,125;432;0,0529526418618999;0,125;0;694
"697";42;0;43;2;1,466552734;0,002685547;8037560;18940;385;11;581;0,180720168835116;0,5;583;0,240425704282447;0,5;0;697
"703";42;2;43;10;1,466552734;0,009277344;8037560;3608;385;48;492;0,0721326695797229;0,125;497;0,0765534353791693;0,125;0;703
"707";42;0;43;4;1,466552734;0,017578125;8037560;0;385;35;548;0,157657361196605;0,48;548;0,148926254592741;0,36;0;707
"709";42;21;43;22;1,466552734;0,544921875;8037560;1976882;385;182;432;0,066310836715104;0,12;438;0,0619166472037127;0,12;0;709
"710";42;5;43;17;1,466552734;0,056640625;8037560;387853;385;126;454;0,0932815188468266;0,0833333333333334;459;0,0943628842909439;0,0833333333333334;0;710
"713";42;25;43;45;1,466552734;791,5610352;8037560;2803997559;385;1044;496;0,0204282248360534;0,115384615384615;501;0,0199418896375237;0,115384615384615;1;713
"715";42;1;43;18;1,466552734;0,004394531;8037560;379731;385;199;459;0,0647513396251708;0,166666666666667;464;0,0632963369642612;0,166666666666667;0;715
"719";42;0;43;2;1,466552734;0,001953125;8037560;1522;385;9;570;0,15374513756396;0,44;571;0,125790192237859;0,4;0;719
"721";42;0;43;3;1,466552734;70,88671875;8037560;128962977;385;234;563;0,17090248062913;0,416666666666667;567;0,145429611661692;0,36;0;721
"724";42;0;43;22;1,466552734;77,4609375;8037560;259709350;385;618;433;0,0764775744045745;0,16;441;0,0755847303114329;0,16;0;724
"734";42;0;43;1;1,466552734;0,001464844;8037560;16910;385;2;588;0,454557139243234;0,666666666666667;593;0,392053858627819;0,541666666666667;0;734
"737";42;0;43;9;1,466552734;0,013427734;8037560;157469;385;36;506;0,0966192029870744;0,25;512;0,0954969340925685;0,25;0;737
"751";42;0;43;18;1,466552734;0;8037560;357551;385;191;459;0,0647513396251708;0,166666666666667;464;0,0632963369642612;0,166666666666667;0;751
"752";42;0;43;86;1,466552734;2,692871094;8037560;24613804;385;651;1112;0,0521821022933977;0,153846153846154;1115;0,051268978861824;0,153846153846154;0;752
"766";67;131;70;137;0,798095703;36,85131836;3218891;158644947;397;957;1419;0,0106444050314822;0,04;1422;0,0108156472456793;0,04;1;766
"768";67;4;70;12;0,798095703;0,014160156;3218891;1537;397;99;1042;0,0340214423896842;0,166666666666667;1048;0,0348330661703958;0,166666666666667;0;768
"777";67;19;70;20;0,798095703;0,102783203;3218891;3853621;397;236;978;0,0441451117509675;0,166666666666667;986;0,0422949002506152;0,166666666666667;0;777
"778";67;0;70;34;0,798095703;0,13671875;3218891;26741;397;204;842;0,035765277109259;0,125;853;0,036976912381962;0,125;0;778
"793";67;21;70;22;0,798095703;0,544921875;3218891;1976882;397;182;916;0,0545530220015475;0,0416666666666666;925;0,0517862766791393;0,0416666666666666;0;793
"794";67;5;70;17;0,798095703;0,056640625;3218891;387853;397;126;984;0,0721387111271264;0,16;992;0,0731775353215741;0,16;0;794
"795";67;4;70;19;0,798095703;0,009277344;3218891;1;397;138;946;0,0591756971008129;0,125;955;0,0571998698739642;0,125;0;795
"799";67;1;70;18;0,798095703;0,004394531;3218891;379731;397;199;992;0,0432882983937748;0,166666666666667;1000;0,0411230111811169;0,166666666666667;0;799
"800";67;112;70;114;0,798095703;53,31005859;3218891;247045695;397;941;1338;0,0382798249510569;0,04;1344;0,0381709924797298;0,04;0;800
"803";67;0;70;2;0,798095703;0,001953125;3218891;1522;397;9;1142;0,152587061401436;0,44;1147;0,11873601671271;0,4;0;803
"805";67;0;70;3;0,798095703;70,88671875;3218891;128962977;397;234;1135;0,111431761496674;0,416666666666667;1141;0,0867472851455966;0,36;0;805
"817";67;0;70;3;0,798095703;0,001464844;3218891;0;397;12;1111;0,0968676977702628;0,333333333333333;1121;0,108814312238069;0,333333333333333;0;817
"822";67;0;70;9;0,798095703;0,006225586;3218891;27941;397;41;1075;0,132333077827934;0,25;1086;0,146024325445815;0,25;0;822
"827";67;0;70;9;0,798095703;0,007202148;3218891;29129;397;46;1053;0,095999225174631;0,291666666666667;1061;0,0985726734094952;0,291666666666667;0;827
"829";67;1;70;7;0,798095703;6,84375;3218891;31823603;397;49;1093;0,147253857442828;0,166666666666667;1096;0,102088207053464;0,166666666666667;0;829
"843";131;1;137;5;36,85131836;110,0444336;158644947;324500732;957;257;2540;0,256295110938857;0,4;2546;0,226479881864346;0,36;0;843
"855";131;0;137;4;36,85131836;0,010986328;158644947;10597;957;196;2542;0,212378625673918;0,44;2549;0,204339176688434;0,4;0;855
"857";131;0;137;23;36,85131836;0,024414063;158644947;1160;957;134;2297;0,0521069847994262;0,12;2303;0,054083082021244;0,12;0;857
"859";131;4;137;15;36,85131836;6,963623047;158644947;26432122;957;151;2362;0,0678949153934247;0,12;2375;0,0678369051506745;0,12;0;859
"863";131;5;137;48;36,85131836;0,04296875;158644947;187;957;267;2018;0,0427704021668869;0,115384615384615;2031;0,0433390357403856;0,115384615384615;0;863
